UTC_PERIOD_START_DATETIME,N2EX,MIP
2021-01-01 00:00:00+00:00,68.0,68.54
2021-01-01 00:30:00+00:00,68.0,69.82
2021-01-01 01:00:00+00:00,62.7,67.42
2021-01-01 01:30:00+00:00,62.7,65.45
2021-01-01 02:00:00+00:00,56.0,59.44
2021-01-01 02:30:00+00:00,56.0,57.07
2021-01-01 03:00:00+00:00,50.1,50.1
2021-01-01 03:30:00+00:00,50.1,50.98
2021-01-01 04:00:00+00:00,50.0,57.77
2021-01-01 04:30:00+00:00,50.0,53.64
2021-01-01 05:00:00+00:00,48.0,53.42
2021-01-01 05:30:00+00:00,48.0,55.26
2021-01-01 06:00:00+00:00,50.0,57.78
2021-01-01 06:30:00+00:00,50.0,55.16
2021-01-01 07:00:00+00:00,40.0,37.71
2021-01-01 07:30:00+00:00,40.0,36.79
2021-01-01 08:00:00+00:00,45.9,42.52
2021-01-01 08:30:00+00:00,45.9,47.65
2021-01-01 09:00:00+00:00,56.35,41.98
2021-01-01 09:30:00+00:00,56.35,44.08
2021-01-01 10:00:00+00:00,60.5,49.93
2021-01-01 10:30:00+00:00,60.5,46.79
2021-01-01 11:00:00+00:00,60.0,53.42
2021-01-01 11:30:00+00:00,60.0,60.35
2021-01-01 12:00:00+00:00,67.5,68.28
2021-01-01 12:30:00+00:00,67.5,63.13
2021-01-01 13:00:00+00:00,66.0,70.06
2021-01-01 13:30:00+00:00,66.0,69.02
2021-01-01 14:00:00+00:00,66.0,71.27
2021-01-01 14:30:00+00:00,66.0,70.33
2021-01-01 15:00:00+00:00,66.2,76.11
2021-01-01 15:30:00+00:00,66.2,81.39
2021-01-01 16:00:00+00:00,86.75,82.2
2021-01-01 16:30:00+00:00,86.75,87.8
2021-01-01 17:00:00+00:00,90.0,92.37
2021-01-01 17:30:00+00:00,90.0,91.31
2021-01-01 18:00:00+00:00,75.2,88.93
2021-01-01 18:30:00+00:00,75.2,86.12
2021-01-01 19:00:00+00:00,66.9,82.01
2021-01-01 19:30:00+00:00,66.9,75.8
2021-01-01 20:00:00+00:00,62.7,74.05
2021-01-01 20:30:00+00:00,62.7,67.96
2021-01-01 21:00:00+00:00,63.0,68.05
2021-01-01 21:30:00+00:00,63.0,61.88
2021-01-01 22:00:00+00:00,50.0,58.24
2021-01-01 22:30:00+00:00,50.0,60.78
2021-01-01 23:00:00+00:00,64.5,56.69
2021-01-01 23:30:00+00:00,64.5,52.83
2021-01-02 00:00:00+00:00,64.0,57.47
2021-01-02 00:30:00+00:00,64.0,60.45
2021-01-02 01:00:00+00:00,58.0,58.17
2021-01-02 01:30:00+00:00,58.0,60.2
2021-01-02 02:00:00+00:00,50.0,57.56
2021-01-02 02:30:00+00:00,50.0,52.52
2021-01-02 03:00:00+00:00,50.0,44.96
2021-01-02 03:30:00+00:00,50.0,43.45
2021-01-02 04:00:00+00:00,45.5,46.92
2021-01-02 04:30:00+00:00,45.5,46.29
2021-01-02 05:00:00+00:00,45.1,47.74
2021-01-02 05:30:00+00:00,45.1,47.92
2021-01-02 06:00:00+00:00,54.8,50.13
2021-01-02 06:30:00+00:00,54.8,46.45
2021-01-02 07:00:00+00:00,52.1,42.19
2021-01-02 07:30:00+00:00,52.1,48.86
2021-01-02 08:00:00+00:00,58.5,49.73
2021-01-02 08:30:00+00:00,58.5,51.69
2021-01-02 09:00:00+00:00,60.95,55.85
2021-01-02 09:30:00+00:00,60.95,49.79
2021-01-02 10:00:00+00:00,60.4,50.46
2021-01-02 10:30:00+00:00,60.4,51.65
2021-01-02 11:00:00+00:00,61.0,56.69
2021-01-02 11:30:00+00:00,61.0,56.04
2021-01-02 12:00:00+00:00,64.1,59.21
2021-01-02 12:30:00+00:00,64.1,65.11
2021-01-02 13:00:00+00:00,64.0,70.38
2021-01-02 13:30:00+00:00,64.0,67.33
2021-01-02 14:00:00+00:00,63.0,65.15
2021-01-02 14:30:00+00:00,63.0,57.48
2021-01-02 15:00:00+00:00,54.0,55.86
2021-01-02 15:30:00+00:00,54.0,66.18
2021-01-02 16:00:00+00:00,75.7,69.43
2021-01-02 16:30:00+00:00,75.7,77.36
2021-01-02 17:00:00+00:00,104.6,103.13
2021-01-02 17:30:00+00:00,104.6,103.78
2021-01-02 18:00:00+00:00,85.05,95.91
2021-01-02 18:30:00+00:00,85.05,81.83
2021-01-02 19:00:00+00:00,70.0,69.17
2021-01-02 19:30:00+00:00,70.0,50.02
2021-01-02 20:00:00+00:00,62.0,50.0
2021-01-02 20:30:00+00:00,62.0,50.8
2021-01-02 21:00:00+00:00,59.0,56.88
2021-01-02 21:30:00+00:00,59.0,61.85
2021-01-02 22:00:00+00:00,51.0,56.49
2021-01-02 22:30:00+00:00,51.0,57.15
2021-01-02 23:00:00+00:00,63.0,62.28
2021-01-02 23:30:00+00:00,63.0,62.25
2021-01-03 00:00:00+00:00,63.0,61.59
2021-01-03 00:30:00+00:00,63.0,62.35
2021-01-03 01:00:00+00:00,62.0,65.77
2021-01-03 01:30:00+00:00,62.0,66.44
2021-01-03 02:00:00+00:00,58.0,61.58
2021-01-03 02:30:00+00:00,58.0,58.41
2021-01-03 03:00:00+00:00,51.4,55.16
2021-01-03 03:30:00+00:00,51.4,43.01
2021-01-03 04:00:00+00:00,45.0,27.55
2021-01-03 04:30:00+00:00,45.0,22.44
2021-01-03 05:00:00+00:00,44.0,34.42
2021-01-03 05:30:00+00:00,44.0,46.79
2021-01-03 06:00:00+00:00,46.5,51.04
2021-01-03 06:30:00+00:00,46.5,44.26
2021-01-03 07:00:00+00:00,41.6,44.9
2021-01-03 07:30:00+00:00,41.6,47.51
2021-01-03 08:00:00+00:00,54.0,45.77
2021-01-03 08:30:00+00:00,54.0,50.47
2021-01-03 09:00:00+00:00,60.5,46.8
2021-01-03 09:30:00+00:00,60.5,44.23
2021-01-03 10:00:00+00:00,62.0,44.17
2021-01-03 10:30:00+00:00,62.0,54.22
2021-01-03 11:00:00+00:00,60.0,57.77
2021-01-03 11:30:00+00:00,60.0,65.89
2021-01-03 12:00:00+00:00,66.0,69.7
2021-01-03 12:30:00+00:00,66.0,70.3
2021-01-03 13:00:00+00:00,66.0,70.96
2021-01-03 13:30:00+00:00,66.0,69.64
2021-01-03 14:00:00+00:00,64.0,62.96
2021-01-03 14:30:00+00:00,64.0,55.4
2021-01-03 15:00:00+00:00,55.0,51.14
2021-01-03 15:30:00+00:00,55.0,54.58
2021-01-03 16:00:00+00:00,80.0,61.72
2021-01-03 16:30:00+00:00,80.0,78.57
2021-01-03 17:00:00+00:00,100.0,85.71
2021-01-03 17:30:00+00:00,100.0,78.91
2021-01-03 18:00:00+00:00,77.2,67.18
2021-01-03 18:30:00+00:00,77.2,63.42
2021-01-03 19:00:00+00:00,70.0,64.73
2021-01-03 19:30:00+00:00,70.0,60.47
2021-01-03 20:00:00+00:00,59.3,57.14
2021-01-03 20:30:00+00:00,59.3,57.96
2021-01-03 21:00:00+00:00,60.0,58.85
2021-01-03 21:30:00+00:00,60.0,57.77
2021-01-03 22:00:00+00:00,50.7,56.66
2021-01-03 22:30:00+00:00,50.7,56.47
